brand,age,ebony,length,restored,electronics,unique,price
bluthner,111,1,167,1,0,1,89500
bluthner,31,1,190,0,1,0,38637
bluthner,119,0,190,1,0,0,28590
bluthner,12,0,234,0,0,0,59999
bosendorfer,97,0,170,1,0,0,25000
bosendorfer,17,1,185,1,0,1,89500
bosendorfer,19,0,185,1,0,0,72500
bosendorfer,70,0,275,1,0,0,45000
bosendorfer,23,1,290,0,0,0,100000
hamburg,56,0,211,1,0,0,78000
hamburg,119,0,180,1,0,0,55500
hamburg,15,0,180,0,0,0,45385
hamburg,29,0,274,0,0,1,79000
kawai,6,0,151,0,1,0,14300
kawai,22,1,155,0,1,0,15000
kawai,21,0,164,1,0,0,15999
kawai,25,1,164,0,0,0,12500
kawai,26,0,164,0,0,0,10900
kawai,6,0,165,0,0,0,10999
kawai,22,0,178,0,0,0,13050
kawai,6,0,178,0,0,0,12800
kawai,23,0,178,0,1,0,14900
kawai,37,0,185,0,1,0,14999
kawai,56,1,188,0,0,0,19500
kawai,32,0,274,0,0,0,12000
kawai,5,0,157,0,0,0,10500
kawai,35,0,206,0,0,0,15999
kawai,40,1,178,0,0,1,11000
kawai,36,0,178,0,0,0,12000
petrof,19,1,158,0,1,0,11000
petrof,19,1,173,0,0,0,22000
petrof,18,0,173,0,0,0,24000
petrof,25,0,173,0,0,0,14000
petrof,17,1,173,0,0,0,12000
petrof,16,1,183,0,0,0,16995
petrof,21,0,244,0,0,0,26900
petrof,21,0,234,1,1,0,32890
schimmel,21,1,183,0,0,0,15999
schimmel,30,1,208,1,0,0,49500
schimmel,10,0,208,0,1,0,34900
steinway,24,1,148,0,0,1,54900
steinway,97,1,148,1,0,0,49500
steinway,95,1,148,1,1,1,46590
steinway,94,1,148,1,0,1,39950
steinway,97,0,148,1,0,0,40540
steinway,87,1,148,1,0,0,39500
steinway,90,1,148,1,0,0,39500
steinway,23,0,148,0,0,0,38288
steinway,76,0,148,1,0,0,36850
steinway,96,0,148,1,0,0,31410
steinway,32,0,148,0,0,0,25000
steinway,42,0,148,0,0,0,21990
steinway,62,1,148,1,0,0,21290
steinway,94,0,148,1,0,0,19999
steinway,48,1,148,0,0,0,19900
steinway,95,1,148,1,0,0,19699
steinway,85,0,148,1,0,0,18000
steinway,51,1,148,0,0,0,17999
steinway,79,1,148,1,0,0,17500
steinway,85,1,155,1,0,0,38500
steinway,24,1,155,0,0,0,37500
steinway,81,1,155,1,0,0,36500
steinway,85,0,155,1,0,1,30000
steinway,82,0,155,1,0,0,22200
steinway,58,0,155,0,0,0,18500
steinway,62,1,155,1,0,0,16999
steinway,82,1,155,0,0,0,16250
steinway,143,1,163,0,0,0,11340
steinway,104,1,170,0,0,1,92000
steinway,8,1,170,0,0,0,59000
steinway,8,1,170,0,0,0,49995
steinway,8,0,170,0,0,0,49500
steinway,27,1,170,0,0,1,44700
steinway,16,1,170,0,0,0,44000
steinway,100,0,170,1,0,0,39950
steinway,97,1,170,1,0,0,42000
steinway,20,0,170,0,0,0,42000
steinway,91,0,170,1,0,0,42000
steinway,38,0,170,1,0,0,38950
steinway,68,0,170,0,0,1,40000
steinway,20,1,170,0,1,1,39500
steinway,77,1,170,1,0,0,36850
steinway,95,0,170,1,0,0,34950
steinway,94,0,170,1,0,0,34000
steinway,26,0,170,0,0,0,33900
steinway,109,1,170,1,0,0,33500
steinway,94,1,170,0,0,0,30000
steinway,99,0,170,0,1,0,29999
steinway,25,0,170,0,0,0,29500
steinway,54,1,170,1,0,0,26000
steinway,31,1,170,0,0,0,25000
steinway,105,0,170,1,0,0,24999
steinway,95,0,170,1,0,0,24999
steinway,95,0,170,1,0,0,24999
steinway,92,1,170,1,0,0,24900
steinway,86,1,170,1,0,0,21000
steinway,107,1,170,0,0,0,19900
steinway,89,1,170,0,0,0,19900
steinway,60,1,170,0,0,0,19900
steinway,92,1,170,0,0,0,19900
steinway,52,1,170,0,0,0,19790
steinway,99,0,170,1,0,0,18995
steinway,104,1,170,0,0,0,18000
steinway,95,1,170,1,0,0,17990
steinway,109,1,170,1,0,0,18950
steinway,104,1,170,1,0,0,18000
steinway,96,0,170,0,0,0,16715
steinway,78,1,170,0,0,0,14999
steinway,72,0,170,1,0,0,16000
steinway,94,1,170,1,0,0,15000
steinway,81,1,170,1,0,0,14900
steinway,89,1,170,0,0,1,14900
steinway,49,1,170,0,0,0,14400
steinway,104,1,170,1,0,0,12900
steinway,63,1,170,0,0,0,12750
steinway,115,1,170,0,0,0,10000
steinway,108,1,180,0,0,0,94990
steinway,108,1,180,0,0,1,85000
steinway,102,1,180,1,0,1,60000
steinway,105,1,180,1,0,0,45500
steinway,98,1,180,0,0,0,39500
steinway,101,1,180,1,0,0,38500
steinway,112,1,180,1,1,0,28890
steinway,99,1,180,1,0,0,28000
steinway,99,0,180,1,0,0,26500
steinway,112,1,180,1,0,0,23890
steinway,112,1,180,1,0,0,22900
steinway,103,1,180,1,0,0,22800
steinway,112,0,180,1,0,0,22445
steinway,104,1,180,1,0,0,21990
steinway,109,0,180,0,0,0,21912
steinway,112,1,180,1,0,0,17900
steinway,117,1,180,1,0,0,16995
steinway,109,1,180,1,0,0,16000
steinway,9,1,188,0,0,1,185000
steinway,13,0,188,0,0,0,59000
steinway,112,1,188,1,0,0,58500
steinway,101,1,188,1,0,1,54500
steinway,115,0,188,1,0,1,49900
steinway,115,1,188,1,0,1,39500
steinway,114,0,188,1,0,1,30000
steinway,111,1,188,1,0,1,29800
steinway,144,1,188,1,0,0,25000
steinway,132,0,188,0,0,0,24500
steinway,126,0,188,1,0,0,19995
steinway,129,0,188,1,0,0,18000
steinway,108,1,188,0,0,0,17910
steinway,105,0,188,1,0,0,49999
steinway,132,1,188,0,0,1,20000
steinway,107,1,188,0,0,1,48500
steinway,104,1,188,0,0,0,23500
steinway,98,1,188,1,0,0,17500
steinway,106,1,188,1,0,0,16000
steinway,109,1,211,1,0,1,300000
steinway,110,1,211,1,0,1,125000
steinway,125,0,211,1,0,0,89999
steinway,7,0,211,0,0,0,85000
steinway,135,1,211,1,0,1,75000
steinway,18,0,211,0,0,0,69950
steinway,13,0,211,0,1,0,69250
steinway,61,1,211,1,0,0,59872.5
steinway,90,0,211,1,0,0,57950
steinway,143,0,211,1,0,1,54998
steinway,39,1,211,1,0,0,52950
steinway,74,0,211,1,0,1,49650
steinway,8,1,211,0,1,0,49600
steinway,28,0,211,0,0,0,45000
steinway,35,0,211,1,0,1,45000
steinway,51,0,211,0,0,0,43000
steinway,36,0,211,1,0,0,39950
steinway,73,0,211,0,0,0,38888
steinway,102,1,211,1,0,0,40000
steinway,94,1,211,1,0,0,39900
steinway,86,1,211,0,0,1,39500
steinway,111,1,211,1,0,0,38900
steinway,33,0,211,0,1,0,37950
steinway,100,0,211,1,0,0,37000
steinway,97,0,211,1,0,0,35000
steinway,118,0,211,1,0,0,33000
steinway,67,0,211,0,0,0,26000
steinway,131,1,211,1,0,0,25000
steinway,105,0,211,1,0,0,24000
steinway,59,1,211,0,0,0,24900
steinway,155,1,218,1,0,1,19797
steinway,155,1,218,1,0,0,16750
steinway,155,1,218,1,0,0,15110
steinway,103,0,226,0,0,1,72500
steinway,139,1,226,0,0,0,11500
steinway,49,1,259,1,0,1,75000
steinway,130,1,274,0,0,1,1000000
steinway,90,1,274,1,0,1,180000
steinway,45,0,274,1,0,0,115000
steinway,28,0,274,0,0,0,91000
steinway,24,0,274,0,0,0,90000
steinway,34,0,274,1,0,1,75000
steinway,58,0,274,1,0,0,64500
steinway,41,0,274,1,0,1,62000
steinway,145,0,274,1,0,1,49900
steinway,113,0,274,1,0,0,41750
steinway,43,0,274,1,0,0,34000
steinway,136,0,274,0,0,0,21500
yamaha,20,0,170,0,0,0,10400
yamaha,73,1,173,1,0,1,13500
yamaha,45,0,183,0,0,0,9999
yamaha,23,0,212,0,0,1,34000
yamaha,17,1,160,0,0,0,14000
yamaha,53,1,185,0,0,0,15500
yamaha,17,0,161,0,0,0,14995
yamaha,21,1,161,0,1,0,13999
yamaha,24,0,173,0,0,0,15000
yamaha,25,0,173,0,0,0,11885
yamaha,37,0,186,0,0,0,14900
yamaha,29,1,186,0,0,0,13500
yamaha,41,1,186,0,0,1,13000
yamaha,46,0,186,0,0,0,11900
yamaha,11,0,200,0,0,0,29995
yamaha,34,0,200,1,0,0,15990
yamaha,15,0,212,0,0,0,29500
yamaha,19,0,212,0,0,0,20900
yamaha,47,0,227,0,0,1,45000
yamaha,33,0,227,0,0,1,24999
yamaha,37,0,227,0,0,0,22500
yamaha,69,0,227,0,1,0,22700
yamaha,21,0,227,0,1,0,22450
yamaha,143,0,227,1,0,0,22000
yamaha,43,0,227,1,0,0,21950
yamaha,39,0,227,0,0,0,11900
yamaha,38,0,227,0,1,0,21000
yamaha,13,0,274,1,0,0,64000
yamaha,34,0,274,0,0,0,35000
yamaha,18,0,173,0,1,0,17500
yamaha,34,0,160,0,0,0,12000
yamaha,41,1,173,0,0,0,11500
yamaha,44,0,173,0,0,0,10990
yamaha,32,1,183,0,1,0,14750
yamaha,11,0,161,0,0,1,1000000
yamaha,10,0,161,0,0,0,12500
yamaha,18,0,161,0,0,0,11500
